Case_ID,ROUGE-1_Precision,ROUGE-1_Recall,ROUGE-1_F1,ROUGE-2_Precision,ROUGE-2_Recall,ROUGE-2_F1,ROUGE-L_Precision,ROUGE-L_Recall,ROUGE-L_F1,Algorithm
CJ-MI-0008,0.0463,0.52,0.0851,0.0,0.0,0.0,0.0321,0.36,0.0589,T5
PB-MO-0001,0.0724,0.6667,0.1307,0.0196,0.1842,0.0354,0.0474,0.4359,0.0854,T5
EE-FL-0072,0.117,0.3774,0.1786,0.0059,0.0192,0.009,0.076,0.2453,0.1161,T5
EE-WI-0031,0.1132,0.5455,0.1875,0.0063,0.0312,0.0105,0.0755,0.3636,0.125,T5
EE-TX-0253,0.107,0.4444,0.1724,0.0108,0.0455,0.0174,0.0642,0.2667,0.1034,T5
EE-LA-0013,0.0822,0.4186,0.1374,0.0046,0.0238,0.0077,0.0594,0.3023,0.0992,T5
EE-TX-0459,0.1059,0.5143,0.1756,0.0118,0.0588,0.0197,0.0706,0.3429,0.1171,T5
PA-NC-0004,0.031,0.6364,0.0592,0.003,0.0615,0.0056,0.02,0.4091,0.0381,T5
EE-TX-0057,0.0472,0.3333,0.0827,0.0,0.0,0.0,0.0386,0.2727,0.0677,T5
EE-IL-0075,0.0538,0.5429,0.0979,0.0028,0.0294,0.0052,0.0368,0.3714,0.067,T5
PC-MA-0032,0.16,0.6957,0.2602,0.0302,0.1333,0.0492,0.105,0.4565,0.1707,T5
IM-MD-0001,0.0849,0.5349,0.1465,0.0148,0.0952,0.0256,0.0554,0.3488,0.0955,T5
EE-TX-0055,0.0305,0.0976,0.0465,0.0,0.0,0.0,0.0305,0.0976,0.0465,T5
EE-NC-0095,0.0979,0.3182,0.1497,0.0282,0.093,0.0432,0.0839,0.2727,0.1283,T5
VR-TX-0450,0.0824,0.5362,0.1429,0.0223,0.1471,0.0388,0.0535,0.3478,0.0927,T5
DR-CO-0001,0.0437,0.7391,0.0825,0.0142,0.2444,0.0268,0.0321,0.5435,0.0607,T5
ID-CT-0002,0.0802,0.6,0.1416,0.0124,0.0938,0.0219,0.0494,0.3692,0.0871,T5
EE-MI-0069,0.1596,0.3659,0.2222,0.043,0.1,0.0602,0.0957,0.2195,0.1333,T5
DR-TN-0001,0.0408,0.566,0.076,0.0095,0.1346,0.0178,0.0326,0.4528,0.0608,T5
NS-MI-0003,0.0553,0.7544,0.103,0.0103,0.1429,0.0192,0.0334,0.4561,0.0623,T5
JC-CO-0008,0.06,0.3827,0.1037,0.0019,0.0125,0.0034,0.0464,0.2963,0.0803,T5
CW-CA-0005,0.0473,0.8082,0.0894,0.012,0.2083,0.0228,0.0305,0.5205,0.0576,T5
NS-DC-0077,0.0847,0.8333,0.1538,0.0442,0.4483,0.0805,0.061,0.6,0.1108,T5
EE-TX-0354,0.1543,0.3971,0.2222,0.0172,0.0448,0.0249,0.1086,0.2794,0.1564,T5
DR-PA-0001,0.0138,0.2807,0.0262,0.0,0.0,0.0,0.0112,0.2281,0.0213,T5
NS-VA-0004,0.031,0.7674,0.0597,0.0169,0.4286,0.0326,0.0226,0.5581,0.0434,T5
EE-MO-0002,0.0314,0.7,0.0601,0.009,0.2051,0.0172,0.0224,0.5,0.0429,T5
PB-MI-0026,0.0517,0.7949,0.097,0.0225,0.3506,0.0423,0.04,0.6154,0.0751,T5
IM-GA-0017,0.009,0.6176,0.0177,0.0004,0.0303,0.0008,0.0068,0.4706,0.0135,T5
EE-CA-0352,0.1375,0.6346,0.226,0.0209,0.098,0.0345,0.0958,0.4423,0.1575,T5
PB-FL-0009,0.0509,0.5,0.0925,0.0054,0.0541,0.0098,0.0349,0.3421,0.0633,T5
EE-IL-0149,0.1655,0.3529,0.2254,0.0347,0.0746,0.0474,0.1241,0.2647,0.169,T5
JC-IL-0053,0.0811,0.5362,0.141,0.0154,0.1029,0.0268,0.0504,0.3333,0.0876,T5
PC-MS-0001,0.0202,0.6716,0.0391,0.0076,0.2576,0.0148,0.017,0.5672,0.033,T5
EE-LA-0004,0.14,0.3111,0.1931,0.0303,0.0682,0.042,0.11,0.2444,0.1517,T5
IM-FL-0013,0.086,0.5769,0.1496,0.0287,0.1961,0.0501,0.0573,0.3846,0.0998,T5
EE-NC-0130,0.1435,0.569,0.2292,0.0524,0.2105,0.0839,0.0913,0.3621,0.1458,T5
FA-MI-0019,0.0671,0.6825,0.1222,0.0109,0.1129,0.0199,0.0468,0.4762,0.0852,T5
PB-IL-0006,0.0778,0.5862,0.1374,0.0046,0.0351,0.0081,0.0458,0.3448,0.0808,T5
PN-CA-0023,0.0285,0.9149,0.0553,0.0119,0.3913,0.0232,0.0239,0.766,0.0463,T5
